city_id,city_name,city_description,state_id
boston,Boston,"Boston is the capital and most populous city[8] of the Commonwealth of Massachusetts in the United States. The city proper covers 48 square miles (124 km2) with an estimated population of 685,094 in 2017,[3] making it also the most populous city in New England.[2] Boston is the seat of Suffolk County as well, although the county government was disbanded on July 1, 1999.[9] The city is the economic and cultural anchor of a substantially larger metropolitan area known as Greater Boston, a metropolitan statistical area (MSA) home to a census-estimated 4.8 million people in 2016 and ranking as the tenth-largest such area in the country.[10] As a combined statistical area (CSA), this wider commuting region is home to some 8.2 million people, making it the sixth-largest in the United States.[11]",massachusetts 
newyorkcity,New york City,"The City of New York, usually called either New York City (NYC) or simply New York (NY), is the most populous city in the United States.[11] With an estimated 2017 population of 8,622,698[7] distributed over a land area of about 302.6 square miles (784 km2),[12][13] New York is also the most densely populated major city in the United States.[14] Located at the southern tip of the state of New York, the city is the center of the New York metropolitan area, the largest metropolitan area in the world by urban landmass[15] and one of the world's most populous megacities,[16][17] with an estimated 20,320,876 people in its 2017 Metropolitan Statistical Area and 23,876,155 residents in its Combined Statistical Area.[4][5] A global power city,[18] New York City has been described as the cultural,[19][20][21][22] financial,[23][24] and media capital of the world,[25][26] and exerts a significant impact upon commerce,[24] entertainment, research, technology, education, politics, tourism, art, fashion, and sports. The city's fast pace[27][28][29]has inspired the term New York minute.[30] Home to the headquarters of the United Nations,[31] New York is an important center for international diplomacy.[32][33]",newyork
miami,Miami,"Miami, officially the City of Miami, is the cultural, economic and financial center of South Florida. Miami is the seat of Miami-Dade County, the most populous county in Florida. The city covers an area of about 56.6 square miles (147 km2), between the Everglades to the west and Biscayne Bay on the east; with a 2017 estimated population of 463,347, Miami is the sixth most densely populated major city in the United States. The Miami metropolitan areais home to 6.1 million people and the seventh-largest metropolitan area in the nation.[8] Miami's metro area is the second-most populous metropolis in the southeastern United States and fourth-largest urban area in the U.S.[9][10] Miami has the third tallest skyline in the United States with over 300 high-rises, 80 of which stand taller than 400 feet.",florida
chicago,Chicago,"Chicago (/ʃɪˈkɑːɡoʊ/ (listen), locally also /-ˈkɔː-/), officially the City of Chicago, is the most populous city in Illinois, as well as the third most populous city in the United States. With an estimated population of 2,716,450 (2017), it is the most populous city in the Midwest. Chicago is the principal city of the Chicago metropolitan area, often referred to as Chicagoland, and the county seat of Cook County, the second most populous county in the United States. The metropolitan area, at nearly 10 million people, is the third-largest in the United States, and the fourth largest in North America (after Mexico City, New York City and Los Angeles) and the third largest metropolitan area in the world by land area.",illinois
losangeles,Los Angeles,"Los Angeles (/lɔːs ˈændʒələs/ (listen);[a] Spanish: Los Ángeles),[16] officially the City of Los Angeles and often known by its initials L.A., is the most populous city in California, the second most populous city in the United States, after New York City, and the third most populous city in North America. With an estimated population of four million,[17] Los Angeles is the cultural, financial, and commercial center of Southern California. The city is known for its Mediterranean climate, ethnic diversity, Hollywood and the entertainment industry, and its sprawling metropolis. Los Angeles is the largest city on the West Coast of North America.",california
lasvegas,Las Vegas ,"Las Vegas (/lɑːs ˈveɪɡəs/,[6] Spanish for ""The Meadows""; Spanish: [las ˈβeɣas]), officially the City of Las Vegas and often known simply as Vegas, is the 28th-most populated city in the United States, the most populated city in the state of Nevada, and the county seat of Clark County. The city anchors the Las Vegas Valley metropolitan area and is the largest city within the greater Mojave Desert.[7] Las Vegas is an internationally renowned major resort city, known primarily for its gambling, shopping, fine dining, entertainment, and nightlife. The Las Vegas Valley as a whole serves as the leading financial, commercial, and cultural center for Nevada.",nevada
washingtondc,Washington D.C,"Washington, D.C., formally the District of Columbia and commonly referred to as Washington or D.C., is the capital of the United States.[4] Founded after the American Revolution as the seat of government of the newly independent country, Washington was named after George Washington, first President of the United States and Founding Father.[5] As the seat of the United States federal government and several international organizations, Washington is an important world political capital.[6] The city is also one of the most visited cities in the world, with more than 20 million tourists annually.[7][8]",washington
denver,Denver,"Denver (/ˈdɛnvər/), officially the City and County of Denver, is the capital and most populous municipality of the U.S. state of Colorado. Denver is located in the South Platte River Valley on the western edge of the High Plains just east of the Front Range of the Rocky Mountains. The Denver downtown district is immediately east of the confluence of Cherry Creek with the South Platte River, approximately 12 mi (19 km) east of the foothills of the Rocky Mountains. Denver is named after James W. Denver, a governor of the Kansas Territory, and it is nicknamed the Mile High City because its official elevation is exactly one mile (5280 feet or 1609.3 meters) above sea level.[17] The 105th meridian west of Greenwich, the longitudinal reference for the Mountain Time Zone, passes directly through Denver Union Station.",colorado
atlanta,Atlanta,"Atlanta (/ætˈlæntə/) is the capital and most populous city in the U.S. state of Georgia. With an estimated 2017 population of 486,290,[13] it is also the 38th most-populous city in the United States. The city serves as the cultural and economic center of the Atlanta metropolitan area, home to 5.8 million people and the ninth-largest metropolitan area in the nation.[7] Atlanta is the seat of Fulton County, the most populous county in Georgia. A small portion of the city extends eastward into neighboring DeKalb County.",georgia
philadelphia,Philadelphia,"Philadelphia, known colloquially as Philly, is the largest city in the U.S. state and Commonwealth of Pennsylvania, and the sixth-most populous U.S. city, with a 2017 census-estimated population of 1,580,863.[7] Since 1854, the city has been coterminous with Philadelphia County, the most populous county in Pennsylvania and the urban core of the eighth-largest U.S. metropolitan statistical area, with over 6 million residents as of 2017.[5]Philadelphia is also the economic and cultural anchor of the greater Delaware Valley, located along the lower Delaware and Schuylkill Rivers, within the Northeast megalopolis. The Delaware Valley's population of 7.2 million ranks it as the eighth-largest combined statistical area in the United States.[6]",pennsylvania
charleston,Charleston,"Charleston is the oldest and largest city in the U.S. state of South Carolina, the county seat of Charleston County,[5] and the principal city in the Charleston–North Charleston–Summerville Metropolitan Statistical Area.[6] The city lies just south of the geographical midpoint of South Carolina's coastline and is located on Charleston Harbor, an inlet of the Atlantic Ocean formed by the confluence of the Ashley, Cooper, and Wando rivers. Charleston had an estimated population of 134,875 in 2017.[7] The estimated population of the Charleston metropolitan area, comprising Berkeley, Charleston, and Dorchestercounties, was 761,155 residents in 2016, the third-largest in the state and the 78th-largest metropolitan statistical area in the United States.",southcarolina
seattle,Seattle,"Seattle (/siˈætəl/ (listen) see-AT-əl) is a seaport city on the West Coast of the United States. It is the seat of King County, Washington. With an estimated 730,000 residents as of 2018, Seattle is the largest city in both the state of Washington and the Pacific Northwest region of North America. According to U.S. Census data released in 2018, the Seattle metropolitan area’s population stands at 3.87 million, and ranks as the 15th largest in the United States.[10] In July 2013, it was the fastest-growing major city in the United States[11] and remained in the Top 5 in May 2015 with an annual growth rate of 2.1%.[12] In July 2016, Seattle was again the fastest-growing major U.S. city, with a 3.1% annual growth rate.[13] Seattle is the northernmost large city in the United States.",washington
neworleans,New orleans,"New Orleans (/ˈɔːrl(i)ənz, ɔːrˈliːnz/,[3][4] locally /ˈɔːrlənz/; French: La Nouvelle-Orléans [la nuvɛlɔʁleɑ̃] (listen)) is a consolidated city-parish located along the Mississippi River in the southeastern region of the U.S. state of Louisiana. With an estimated population of 393,292 in 2017,[5] it is the most populous city in Louisiana. A major port, New Orleans is considered an economic and commercial hub for the broader Gulf Coast region of the United States.",louisiana
stlouis,St. Louis ,"St. Louis (/seɪnt ˈluːɪs/)[10][11][12] is an independent city[13] and inland port in the U.S. state of Missouri. It is situated along the western bank of the Mississippi River, which marks Missouri's border with Illinois. The Missouri River merges with the Mississippi River just north of the city. These two rivers combined form the fourth longest river system in the world. The city had an estimated 2017 population of 308,626[8] and is the cultural and economic center of the St. Louis metropolitan area (home to nearly 3,000,000 people), which is the largest metropolitan area in Missouri, the second-largest in Illinois (after Chicago), and the 22nd-largest in the United States.",missouri
sedona,Sedona,"Sedona /sɪˈdoʊnə/ is a city that straddles the county line between Coconino and Yavapai counties in the northern Verde Valley region of the U.S. state of Arizona. As of the 2010 census, its population was 10,031.[5]",arizona
honolulu,Honolulu,"Honolulu (/ˌhɒnəˈluːluː/;[6] Hawaiian: [honoˈlulu]) is the capital and largest city of the U.S. state of Hawaiʻi. It is an unincorporated part of and the county seat of the City and County of Honolulu along the southeast coast of the island of Oʻahu.[a] The city is the main gateway to Hawaiʻi and a major portal into the United States. The city is also a major hub for international business, military defense, as well as famously being host to a diverse variety of east-west and Pacific culture, cuisine, and traditions.",hawaii
portland,Portland,"Portland is the largest and most populous city in the U.S. state of Oregon and the seat of Multnomah County. It is a major port in the Willamette Valley region of the Pacific Northwest, at the confluence of the Willamette and Columbia rivers. As of 2017, Portland had an estimated population of 647,805,[9] making it the 26th-largest city in the United States, and the second-most populous in the Pacific Northwest (after Seattle).[10]Approximately 2.4 million people live in the Portland metropolitan statistical area (MSA), making it the 25th most populous MSA in the United States. Its Combined Statistical Area (CSA) ranks 18th-largest with a population of around 3.2 million. Approximately 60% of Oregon's population resides within the Portland metropolitan area.[a]",oregeon
nashville,Nashville,"Nashville is the capital and most populous city of the U.S. state of Tennessee. The city is the county seat of Davidson County and is located on the Cumberland River.[7] The city's population ranks 24th in the U.S. According to 2017 estimates from the U.S. Census Bureau, the total consolidated city-county population stood at 691,243.[4] The ""balance"" population, which excludes semi-independent municipalities within Davidson County, was 667,560 in 2017.[6]",tennessee
austin,Austin,"Austin is the capital of the U.S. state of Texas and the seat of Travis County, with portions extending into Hays and Williamson counties. It is the 11th-most populous city in the United States and the 4th-most populous city in Texas. It is also the fastest growing large city in the United States,[5][6] the second most populous state capital after Phoenix, Arizona,[7] and the southernmost state capital in the contiguous United States. As of the U.S. Census Bureau's July 1, 2017 estimate, Austin had a population of 950,715[8] up from 790,491 at the 2010 census.[3] The city is the cultural and economic center of the Austin–Round Rock metropolitan statistical area, which had an estimated population of 2,115,827 as of July 1, 2017. Located in Central Texas within the greater Texas Hill Country, it is home to numerous lakes, rivers, and waterways, including Lady Bird Lake and Lake Travis on the Colorado River, Barton Springs, McKinney Falls, and Lake Walter E. Long.",texas
natchez,Natchez,"Natchez /ˈnætʃɪz/ is the county seat and only city[3] of Adams County, Mississippi, United States. Natchez has a total population of 15,792 (as of the 2010 census).[4] Located on the Mississippi River across from Vidalia in Concordia Parish, Louisiana, Natchez was a prominent city in the antebellum years, a center of cotton planters and Mississippi River trade.",mississippi
anchorage,Anchorage,"Anchorage (officially called the Municipality of Anchorage; Dena'ina: Dgheyaytnu) is a unified home rule municipality in the U.S. state of Alaska. With an estimated 298,192 residents in 2016,[7] it is Alaska's most populous city and contains more than 40 percent of the state's total population; among the 50 states, only New York has a higher percentage of residents who live in its most populous city. All together, the Anchorage metropolitan area, which combines Anchorage with the neighboring Matanuska-Susitna Borough, had a population of 401,635 in 2016, which accounts for more than half of the state's population. At 1,706 square miles of land area, the city is the fourth largest city by land in the United States and larger than the smallest state, Rhode Island, at 1,212 square miles.[8][9]",alaska
barharbor,Bar Harbor,"Bar Harbor is a town on Mount Desert Island in Hancock County, Maine, United States. As of the 2010 census, its population is 5,235. Bar Harbor is a popular tourist destination in the Down East region of Maine and home to the College of the Atlantic, Jackson Laboratory, and MDI Biological Laboratory(Salisbury Cove village). Prior to a catastrophic 1947 fire, the town was a noted summer colony for the wealthy. Bar Harbor is home to the largest parts of Acadia National Park, including Cadillac Mountain, the highest point within twenty-five miles (40 km) of the coastline of the Eastern United States.[4] The town is served by the Hancock County-Bar Harbor Airport, which serves year-round direct flights to Boston, Massachusetts.",maine
sanfransisco,San Fransisco,"San Francisco (SF; /ˌsæn frənˈsɪskoʊ, fræn-/, Spanish: [sam fɾanˈsisko]; Spanish for 'Saint Francis'), officially the City and County of San Francisco, is a cityin, and the cultural, commercial, and financial center of,[citation needed] Northern California. San Francisco is the 13th-most populous city in the United States, and the fourth-most populous in California, with 884,363 residents as of 2017.[19] It covers an area of about 46.89 square miles (121.4 km2),[20] mostly at the north end of the San Francisco Peninsula in the San Francisco Bay Area, making it the second-most densely populated large US city, and the fifth-most densely populated U.S. county, behind only four of the five New York City boroughs. San Francisco is also part of the fifth-most populous primary statistical area in the United States, the San Jose–San Francisco–Oakland, CA Combined Statistical Area (9.7 million residents).",california
sanantonio,San Antonio,"San Antonio (/ˌsæn ænˈtoʊnioʊ/; from Spanish, ""Saint Anthony""), officially the City of San Antonio, is the seventh-most populous city in the United States, and the second-most populous city in both Texas and the Southern United States, with more than 1.5 million residents.[5] Founded as a Spanish mission and colonial outpost in 1718, the city became the first chartered civil settlement in present-day Texas in 1731. The area was still part of the Spanish Empire, and later of the Mexican Republic. Today it is the state's oldest municipality.[6][7]",texas
orlando,Orlando,"Orlando (/ɔːrˈlændoʊ/) is a city in the U.S. state of Florida and the county seat of Orange County. Located in Central Florida, it is the center of the Orlando metropolitan area, which had a population of 2,509,831, according to U.S. Census Bureau figures released in July 2017. These figures make it the 23rd-largest metropolitan area[8] in the United States, the sixth-largest metropolitan area in the Southern United States, and the third-largest metropolitan area in Florida. As of 2015, Orlando had an estimated city-proper population of 280,257, making it the 73rd-largest city in the United States, the fourth-largest city in Florida, and the state's largest inland city.",florida
