Forecast Id,City id,Date,Temp(C),Minimum Temperature(C),Maximum Temperature(C),Weather Condition,Pressure(hPa),Humidity(%),Cloudiness(%),Wind(miles/hr)
wea399,philadelphia,2019-04-30 18:00:00,9.64,9.64,9.64,light rain,1021.01,91,100,7.33736
wea400,philadelphia,2019-04-30 21:00:00,13.06,13.06,13.06,light rain,1019.25,91,100,1.96856
wea401,charleston,2019-04-26 00:00:00,7.14,7.14,12.12,broken clouds,1014.08,62,65,4.54111
wea402,charleston,2019-04-26 03:00:00,5.2,5.2,8.93,broken clouds,1014.93,75,57,5.32406
wea403,charleston,2019-04-26 06:00:00,4.7,4.7,7.19,broken clouds,1014.25,80,71,4.004230000000001
wea404,charleston,2019-04-26 09:00:00,6.61,6.61,7.85,overcast clouds,1012.97,79,93,3.28839
wea405,charleston,2019-04-26 12:00:00,7.95,7.95,7.95,light rain,1011.94,91,97,5.72672
wea406,charleston,2019-04-26 15:00:00,8.62,8.62,8.62,moderate rain,1009.2,92,100,9.48488
wea407,charleston,2019-04-26 18:00:00,10.05,10.05,10.05,light rain,1005.8,94,100,8.187420000000001
wea408,charleston,2019-04-26 21:00:00,11.25,11.25,11.25,light rain,1001.99,95,100,7.270250000000001
wea409,charleston,2019-04-27 00:00:00,13.79,13.79,13.79,light rain,998.42,98,100,7.00181
wea410,charleston,2019-04-27 03:00:00,15.65,15.65,15.65,light rain,993.89,93,100,11.11789
wea411,charleston,2019-04-27 06:00:00,14.86,14.86,14.86,light rain,991.11,95,100,7.762390000000001
wea412,charleston,2019-04-27 09:00:00,10.55,10.55,10.55,light rain,990.0,89,100,8.07557
wea413,charleston,2019-04-27 12:00:00,10.05,10.05,10.05,overcast clouds,990.02,85,100,8.43349
wea414,charleston,2019-04-27 15:00:00,12.66,12.66,12.66,light rain,992.42,62,88,12.392980000000001
wea415,charleston,2019-04-27 18:00:00,12.86,12.86,12.86,light rain,993.85,57,92,11.654770000000001
wea416,charleston,2019-04-27 21:00:00,12.37,12.37,12.37,light rain,995.66,52,92,12.840380000000001
wea417,charleston,2019-04-28 00:00:00,7.03,7.03,7.03,light rain,999.77,64,86,8.59008
wea418,charleston,2019-04-28 03:00:00,5.55,5.55,5.55,broken clouds,1003.01,66,77,9.73095
wea419,charleston,2019-04-28 06:00:00,5.71,5.71,5.71,broken clouds,1005.01,70,66,10.20072
wea420,charleston,2019-04-28 09:00:00,4.81,4.81,4.81,few clouds,1007.12,72,24,9.05985
wea421,charleston,2019-04-28 12:00:00,7.05,7.05,7.05,few clouds,1009.36,59,12,9.08222
wea422,charleston,2019-04-28 15:00:00,12.48,12.48,12.48,clear sky,1010.52,43,0,7.807130000000001
wea423,charleston,2019-04-28 18:00:00,10.55,10.55,10.55,light rain,1011.18,59,50,9.194070000000002
wea424,charleston,2019-04-28 21:00:00,11.58,11.58,11.58,overcast clouds,1010.77,55,87,7.04655
wea425,charleston,2019-04-29 00:00:00,6.58,6.58,6.58,light rain,1014.2,85,91,7.538690000000001
wea426,charleston,2019-04-29 03:00:00,4.21,4.21,4.21,light rain,1018.56,77,98,11.36396
wea427,charleston,2019-04-29 06:00:00,1.87,1.87,1.87,scattered clouds,1021.71,75,49,9.64147
wea428,charleston,2019-04-29 09:00:00,0.15,0.15,0.15,clear sky,1024.83,75,0,6.35308
wea429,charleston,2019-04-29 12:00:00,3.44,3.44,3.44,clear sky,1028.55,51,0,11.610030000000002
wea430,charleston,2019-04-29 15:00:00,9.25,9.25,9.25,clear sky,1028.65,28,0,10.334940000000001
wea431,charleston,2019-04-29 18:00:00,13.26,13.26,13.26,few clouds,1027.52,23,21,9.26118
wea432,charleston,2019-04-29 21:00:00,13.65,13.65,13.65,overcast clouds,1027.5,26,100,7.51632
wea433,charleston,2019-04-30 00:00:00,9.03,9.03,9.03,overcast clouds,1028.66,39,100,2.70677
wea434,charleston,2019-04-30 03:00:00,8.05,8.05,8.05,overcast clouds,1029.19,40,100,2.25937
wea435,charleston,2019-04-30 06:00:00,7.45,7.45,7.45,overcast clouds,1029.05,43,100,2.63966
wea436,charleston,2019-04-30 09:00:00,5.75,5.75,5.75,overcast clouds,1027.86,57,100,2.72914
wea437,charleston,2019-04-30 12:00:00,7.51,7.51,7.51,overcast clouds,1027.06,59,99,5.033250000000001
wea438,charleston,2019-04-30 15:00:00,6.05,6.05,6.05,light rain,1024.39,89,100,5.70435
wea439,charleston,2019-04-30 18:00:00,9.64,9.64,9.64,light rain,1021.01,91,100,7.33736
wea440,charleston,2019-04-30 21:00:00,13.06,13.06,13.06,light rain,1019.25,91,100,1.96856
wea441,seattle,2019-04-26 00:00:00,7.2,7.2,12.12,broken clouds,1014.08,62,65,4.54111
wea442,seattle,2019-04-26 03:00:00,5.24,5.24,8.93,broken clouds,1014.93,75,57,5.32406
wea443,seattle,2019-04-26 06:00:00,4.73,4.73,7.19,broken clouds,1014.25,80,71,4.004230000000001
wea444,seattle,2019-04-26 09:00:00,6.62,6.62,7.85,overcast clouds,1012.97,79,93,3.28839
wea445,seattle,2019-04-26 12:00:00,7.95,7.95,7.95,light rain,1011.94,91,97,5.72672
wea446,seattle,2019-04-26 15:00:00,8.62,8.62,8.62,moderate rain,1009.2,92,100,9.48488
wea447,seattle,2019-04-26 18:00:00,10.05,10.05,10.05,light rain,1005.8,94,100,8.187420000000001
wea448,seattle,2019-04-26 21:00:00,11.25,11.25,11.25,light rain,1001.99,95,100,7.270250000000001
wea449,seattle,2019-04-27 00:00:00,13.79,13.79,13.79,light rain,998.42,98,100,7.00181
wea450,seattle,2019-04-27 03:00:00,15.65,15.65,15.65,light rain,993.89,93,100,11.11789
wea451,seattle,2019-04-27 06:00:00,14.86,14.86,14.86,light rain,991.11,95,100,7.762390000000001
wea452,seattle,2019-04-27 09:00:00,10.55,10.55,10.55,light rain,990.0,89,100,8.07557
wea453,seattle,2019-04-27 12:00:00,10.05,10.05,10.05,overcast clouds,990.02,85,100,8.43349
wea454,seattle,2019-04-27 15:00:00,12.66,12.66,12.66,light rain,992.42,62,88,12.392980000000001
wea455,seattle,2019-04-27 18:00:00,12.86,12.86,12.86,light rain,993.85,57,92,11.654770000000001
wea456,seattle,2019-04-27 21:00:00,12.37,12.37,12.37,light rain,995.66,52,92,12.840380000000001
wea457,seattle,2019-04-28 00:00:00,7.03,7.03,7.03,light rain,999.77,64,86,8.59008
wea458,seattle,2019-04-28 03:00:00,5.55,5.55,5.55,broken clouds,1003.01,66,77,9.73095
wea459,seattle,2019-04-28 06:00:00,5.71,5.71,5.71,broken clouds,1005.01,70,66,10.20072
wea460,seattle,2019-04-28 09:00:00,4.81,4.81,4.81,few clouds,1007.12,72,24,9.05985
wea461,seattle,2019-04-28 12:00:00,7.05,7.05,7.05,few clouds,1009.36,59,12,9.08222
wea462,seattle,2019-04-28 15:00:00,12.48,12.48,12.48,clear sky,1010.52,43,0,7.807130000000001
wea463,seattle,2019-04-28 18:00:00,10.55,10.55,10.55,light rain,1011.18,59,50,9.194070000000002
wea464,seattle,2019-04-28 21:00:00,11.58,11.58,11.58,overcast clouds,1010.77,55,87,7.04655
wea465,seattle,2019-04-29 00:00:00,6.58,6.58,6.58,light rain,1014.2,85,91,7.538690000000001
wea466,seattle,2019-04-29 03:00:00,4.21,4.21,4.21,light rain,1018.56,77,98,11.36396
wea467,seattle,2019-04-29 06:00:00,1.87,1.87,1.87,scattered clouds,1021.71,75,49,9.64147
wea468,seattle,2019-04-29 09:00:00,0.15,0.15,0.15,clear sky,1024.83,75,0,6.35308
wea469,seattle,2019-04-29 12:00:00,3.44,3.44,3.44,clear sky,1028.55,51,0,11.610030000000002
wea470,seattle,2019-04-29 15:00:00,9.25,9.25,9.25,clear sky,1028.65,28,0,10.334940000000001
wea471,seattle,2019-04-29 18:00:00,13.26,13.26,13.26,few clouds,1027.52,23,21,9.26118
wea472,seattle,2019-04-29 21:00:00,13.65,13.65,13.65,overcast clouds,1027.5,26,100,7.51632
wea473,seattle,2019-04-30 00:00:00,9.03,9.03,9.03,overcast clouds,1028.66,39,100,2.70677
wea474,seattle,2019-04-30 03:00:00,8.05,8.05,8.05,overcast clouds,1029.19,40,100,2.25937
wea475,seattle,2019-04-30 06:00:00,7.45,7.45,7.45,overcast clouds,1029.05,43,100,2.63966
wea476,seattle,2019-04-30 09:00:00,5.75,5.75,5.75,overcast clouds,1027.86,57,100,2.72914
wea477,seattle,2019-04-30 12:00:00,7.51,7.51,7.51,overcast clouds,1027.06,59,99,5.033250000000001
wea478,seattle,2019-04-30 15:00:00,6.05,6.05,6.05,light rain,1024.39,89,100,5.70435
wea479,seattle,2019-04-30 18:00:00,9.64,9.64,9.64,light rain,1021.01,91,100,7.33736
wea480,seattle,2019-04-30 21:00:00,13.06,13.06,13.06,light rain,1019.25,91,100,1.96856
wea481,neworleans,2019-04-26 00:00:00,7.2,7.2,12.12,broken clouds,1014.08,62,65,4.54111
wea482,neworleans,2019-04-26 03:00:00,5.24,5.24,8.93,broken clouds,1014.93,75,57,5.32406
wea483,neworleans,2019-04-26 06:00:00,4.73,4.73,7.19,broken clouds,1014.25,80,71,4.004230000000001
wea484,neworleans,2019-04-26 09:00:00,6.62,6.62,7.85,overcast clouds,1012.97,79,93,3.28839
wea485,neworleans,2019-04-26 12:00:00,7.95,7.95,7.95,light rain,1011.94,91,97,5.72672
wea486,neworleans,2019-04-26 15:00:00,8.62,8.62,8.62,moderate rain,1009.2,92,100,9.48488
wea487,neworleans,2019-04-26 18:00:00,10.05,10.05,10.05,light rain,1005.8,94,100,8.187420000000001
wea488,neworleans,2019-04-26 21:00:00,11.25,11.25,11.25,light rain,1001.99,95,100,7.270250000000001
wea489,neworleans,2019-04-27 00:00:00,13.79,13.79,13.79,light rain,998.42,98,100,7.00181
wea490,neworleans,2019-04-27 03:00:00,15.65,15.65,15.65,light rain,993.89,93,100,11.11789
wea491,neworleans,2019-04-27 06:00:00,14.86,14.86,14.86,light rain,991.11,95,100,7.762390000000001
wea492,neworleans,2019-04-27 09:00:00,10.55,10.55,10.55,light rain,990.0,89,100,8.07557
wea493,neworleans,2019-04-27 12:00:00,10.05,10.05,10.05,overcast clouds,990.02,85,100,8.43349
wea494,neworleans,2019-04-27 15:00:00,12.66,12.66,12.66,light rain,992.42,62,88,12.392980000000001
wea495,neworleans,2019-04-27 18:00:00,12.86,12.86,12.86,light rain,993.85,57,92,11.654770000000001
wea496,neworleans,2019-04-27 21:00:00,12.37,12.37,12.37,light rain,995.66,52,92,12.840380000000001
wea497,neworleans,2019-04-28 00:00:00,7.03,7.03,7.03,light rain,999.77,64,86,8.59008
wea498,neworleans,2019-04-28 03:00:00,5.55,5.55,5.55,broken clouds,1003.01,66,77,9.73095
wea499,neworleans,2019-04-28 06:00:00,5.71,5.71,5.71,broken clouds,1005.01,70,66,10.20072
wea500,neworleans,2019-04-28 09:00:00,4.81,4.81,4.81,few clouds,1007.12,72,24,9.05985
wea501,neworleans,2019-04-28 12:00:00,7.05,7.05,7.05,few clouds,1009.36,59,12,9.08222
wea502,neworleans,2019-04-28 15:00:00,12.48,12.48,12.48,clear sky,1010.52,43,0,7.807130000000001
wea503,neworleans,2019-04-28 18:00:00,10.55,10.55,10.55,light rain,1011.18,59,50,9.194070000000002
wea504,neworleans,2019-04-28 21:00:00,11.58,11.58,11.58,overcast clouds,1010.77,55,87,7.04655
wea505,neworleans,2019-04-29 00:00:00,6.58,6.58,6.58,light rain,1014.2,85,91,7.538690000000001
wea506,neworleans,2019-04-29 03:00:00,4.21,4.21,4.21,light rain,1018.56,77,98,11.36396
wea507,neworleans,2019-04-29 06:00:00,1.87,1.87,1.87,scattered clouds,1021.71,75,49,9.64147
wea508,neworleans,2019-04-29 09:00:00,0.15,0.15,0.15,clear sky,1024.83,75,0,6.35308
wea509,neworleans,2019-04-29 12:00:00,3.44,3.44,3.44,clear sky,1028.55,51,0,11.610030000000002
wea510,neworleans,2019-04-29 15:00:00,9.25,9.25,9.25,clear sky,1028.65,28,0,10.334940000000001
wea511,neworleans,2019-04-29 18:00:00,13.26,13.26,13.26,few clouds,1027.52,23,21,9.26118
wea512,neworleans,2019-04-29 21:00:00,13.65,13.65,13.65,overcast clouds,1027.5,26,100,7.51632
wea513,neworleans,2019-04-30 00:00:00,9.03,9.03,9.03,overcast clouds,1028.66,39,100,2.70677
wea514,neworleans,2019-04-30 03:00:00,8.05,8.05,8.05,overcast clouds,1029.19,40,100,2.25937
wea515,neworleans,2019-04-30 06:00:00,7.45,7.45,7.45,overcast clouds,1029.05,43,100,2.63966
wea516,neworleans,2019-04-30 09:00:00,5.75,5.75,5.75,overcast clouds,1027.86,57,100,2.72914
wea517,neworleans,2019-04-30 12:00:00,7.51,7.51,7.51,overcast clouds,1027.06,59,99,5.033250000000001
wea518,neworleans,2019-04-30 15:00:00,6.05,6.05,6.05,light rain,1024.39,89,100,5.70435
wea519,neworleans,2019-04-30 18:00:00,9.64,9.64,9.64,light rain,1021.01,91,100,7.33736
wea520,neworleans,2019-04-30 21:00:00,13.06,13.06,13.06,light rain,1019.25,91,100,1.96856
wea521,stlouis,2019-04-26 00:00:00,7.2,7.2,12.12,broken clouds,1014.08,62,65,4.54111
wea522,stlouis,2019-04-26 03:00:00,5.24,5.24,8.93,broken clouds,1014.93,75,57,5.32406
wea523,stlouis,2019-04-26 06:00:00,4.73,4.73,7.19,broken clouds,1014.25,80,71,4.004230000000001
wea524,stlouis,2019-04-26 09:00:00,6.62,6.62,7.85,overcast clouds,1012.97,79,93,3.28839
wea525,stlouis,2019-04-26 12:00:00,7.95,7.95,7.95,light rain,1011.94,91,97,5.72672
wea526,stlouis,2019-04-26 15:00:00,8.62,8.62,8.62,moderate rain,1009.2,92,100,9.48488
wea527,stlouis,2019-04-26 18:00:00,10.05,10.05,10.05,light rain,1005.8,94,100,8.187420000000001
wea528,stlouis,2019-04-26 21:00:00,11.25,11.25,11.25,light rain,1001.99,95,100,7.270250000000001
wea529,stlouis,2019-04-27 00:00:00,13.79,13.79,13.79,light rain,998.42,98,100,7.00181
wea530,stlouis,2019-04-27 03:00:00,15.65,15.65,15.65,light rain,993.89,93,100,11.11789
wea531,stlouis,2019-04-27 06:00:00,14.86,14.86,14.86,light rain,991.11,95,100,7.762390000000001
wea532,stlouis,2019-04-27 09:00:00,10.55,10.55,10.55,light rain,990.0,89,100,8.07557
wea533,stlouis,2019-04-27 12:00:00,10.05,10.05,10.05,overcast clouds,990.02,85,100,8.43349
wea534,stlouis,2019-04-27 15:00:00,12.66,12.66,12.66,light rain,992.42,62,88,12.392980000000001
wea535,stlouis,2019-04-27 18:00:00,12.86,12.86,12.86,light rain,993.85,57,92,11.654770000000001
wea536,stlouis,2019-04-27 21:00:00,12.37,12.37,12.37,light rain,995.66,52,92,12.840380000000001
wea537,stlouis,2019-04-28 00:00:00,7.03,7.03,7.03,light rain,999.77,64,86,8.59008
wea538,stlouis,2019-04-28 03:00:00,5.55,5.55,5.55,broken clouds,1003.01,66,77,9.73095
wea539,stlouis,2019-04-28 06:00:00,5.71,5.71,5.71,broken clouds,1005.01,70,66,10.20072
wea540,stlouis,2019-04-28 09:00:00,4.81,4.81,4.81,few clouds,1007.12,72,24,9.05985
wea541,stlouis,2019-04-28 12:00:00,7.05,7.05,7.05,few clouds,1009.36,59,12,9.08222
wea542,stlouis,2019-04-28 15:00:00,12.48,12.48,12.48,clear sky,1010.52,43,0,7.807130000000001
wea543,stlouis,2019-04-28 18:00:00,10.55,10.55,10.55,light rain,1011.18,59,50,9.194070000000002
wea544,stlouis,2019-04-28 21:00:00,11.58,11.58,11.58,overcast clouds,1010.77,55,87,7.04655
wea545,stlouis,2019-04-29 00:00:00,6.58,6.58,6.58,light rain,1014.2,85,91,7.538690000000001
wea546,stlouis,2019-04-29 03:00:00,4.21,4.21,4.21,light rain,1018.56,77,98,11.36396
wea547,stlouis,2019-04-29 06:00:00,1.87,1.87,1.87,scattered clouds,1021.71,75,49,9.64147
wea548,stlouis,2019-04-29 09:00:00,0.15,0.15,0.15,clear sky,1024.83,75,0,6.35308
wea549,stlouis,2019-04-29 12:00:00,3.44,3.44,3.44,clear sky,1028.55,51,0,11.610030000000002
wea550,stlouis,2019-04-29 15:00:00,9.25,9.25,9.25,clear sky,1028.65,28,0,10.334940000000001
wea551,stlouis,2019-04-29 18:00:00,13.26,13.26,13.26,few clouds,1027.52,23,21,9.26118
wea552,stlouis,2019-04-29 21:00:00,13.65,13.65,13.65,overcast clouds,1027.5,26,100,7.51632
wea553,stlouis,2019-04-30 00:00:00,9.03,9.03,9.03,overcast clouds,1028.66,39,100,2.70677
wea554,stlouis,2019-04-30 03:00:00,8.05,8.05,8.05,overcast clouds,1029.19,40,100,2.25937
wea555,stlouis,2019-04-30 06:00:00,7.45,7.45,7.45,overcast clouds,1029.05,43,100,2.63966
wea556,stlouis,2019-04-30 09:00:00,5.75,5.75,5.75,overcast clouds,1027.86,57,100,2.72914
wea557,stlouis,2019-04-30 12:00:00,7.51,7.51,7.51,overcast clouds,1027.06,59,99,5.033250000000001
wea558,stlouis,2019-04-30 15:00:00,6.05,6.05,6.05,light rain,1024.39,89,100,5.70435
wea559,stlouis,2019-04-30 18:00:00,9.64,9.64,9.64,light rain,1021.01,91,100,7.33736
wea560,stlouis,2019-04-30 21:00:00,13.06,13.06,13.06,light rain,1019.25,91,100,1.96856
wea561,sedona,2019-04-26 00:00:00,7.2,7.2,12.12,broken clouds,1014.08,62,65,4.54111
wea562,sedona,2019-04-26 03:00:00,5.24,5.24,8.93,broken clouds,1014.93,75,57,5.32406
wea563,sedona,2019-04-26 06:00:00,4.73,4.73,7.19,broken clouds,1014.25,80,71,4.004230000000001
wea564,sedona,2019-04-26 09:00:00,6.62,6.62,7.85,overcast clouds,1012.97,79,93,3.28839
wea565,sedona,2019-04-26 12:00:00,7.95,7.95,7.95,light rain,1011.94,91,97,5.72672
wea566,sedona,2019-04-26 15:00:00,8.62,8.62,8.62,moderate rain,1009.2,92,100,9.48488
wea567,sedona,2019-04-26 18:00:00,10.05,10.05,10.05,light rain,1005.8,94,100,8.187420000000001
wea568,sedona,2019-04-26 21:00:00,11.25,11.25,11.25,light rain,1001.99,95,100,7.270250000000001
wea569,sedona,2019-04-27 00:00:00,13.79,13.79,13.79,light rain,998.42,98,100,7.00181
wea570,sedona,2019-04-27 03:00:00,15.65,15.65,15.65,light rain,993.89,93,100,11.11789
wea571,sedona,2019-04-27 06:00:00,14.86,14.86,14.86,light rain,991.11,95,100,7.762390000000001
wea572,sedona,2019-04-27 09:00:00,10.55,10.55,10.55,light rain,990.0,89,100,8.07557
wea573,sedona,2019-04-27 12:00:00,10.05,10.05,10.05,overcast clouds,990.02,85,100,8.43349
wea574,sedona,2019-04-27 15:00:00,12.66,12.66,12.66,light rain,992.42,62,88,12.392980000000001
wea575,sedona,2019-04-27 18:00:00,12.86,12.86,12.86,light rain,993.85,57,92,11.654770000000001
wea576,sedona,2019-04-27 21:00:00,12.37,12.37,12.37,light rain,995.66,52,92,12.840380000000001
wea577,sedona,2019-04-28 00:00:00,7.03,7.03,7.03,light rain,999.77,64,86,8.59008
wea578,sedona,2019-04-28 03:00:00,5.55,5.55,5.55,broken clouds,1003.01,66,77,9.73095
wea579,sedona,2019-04-28 06:00:00,5.71,5.71,5.71,broken clouds,1005.01,70,66,10.20072
wea580,sedona,2019-04-28 09:00:00,4.81,4.81,4.81,few clouds,1007.12,72,24,9.05985
wea581,sedona,2019-04-28 12:00:00,7.05,7.05,7.05,few clouds,1009.36,59,12,9.08222
wea582,sedona,2019-04-28 15:00:00,12.48,12.48,12.48,clear sky,1010.52,43,0,7.807130000000001
wea583,sedona,2019-04-28 18:00:00,10.55,10.55,10.55,light rain,1011.18,59,50,9.194070000000002
wea584,sedona,2019-04-28 21:00:00,11.58,11.58,11.58,overcast clouds,1010.77,55,87,7.04655
wea585,sedona,2019-04-29 00:00:00,6.58,6.58,6.58,light rain,1014.2,85,91,7.538690000000001
wea586,sedona,2019-04-29 03:00:00,4.21,4.21,4.21,light rain,1018.56,77,98,11.36396
wea587,sedona,2019-04-29 06:00:00,1.87,1.87,1.87,scattered clouds,1021.71,75,49,9.64147
wea588,sedona,2019-04-29 09:00:00,0.15,0.15,0.15,clear sky,1024.83,75,0,6.35308
wea589,sedona,2019-04-29 12:00:00,3.44,3.44,3.44,clear sky,1028.55,51,0,11.610030000000002
wea590,sedona,2019-04-29 15:00:00,9.25,9.25,9.25,clear sky,1028.65,28,0,10.334940000000001
wea591,sedona,2019-04-29 18:00:00,13.26,13.26,13.26,few clouds,1027.52,23,21,9.26118
wea592,sedona,2019-04-29 21:00:00,13.65,13.65,13.65,overcast clouds,1027.5,26,100,7.51632
wea593,sedona,2019-04-30 00:00:00,9.03,9.03,9.03,overcast clouds,1028.66,39,100,2.70677
wea594,sedona,2019-04-30 03:00:00,8.05,8.05,8.05,overcast clouds,1029.19,40,100,2.25937
wea595,sedona,2019-04-30 06:00:00,7.45,7.45,7.45,overcast clouds,1029.05,43,100,2.63966
wea596,sedona,2019-04-30 09:00:00,5.75,5.75,5.75,overcast clouds,1027.86,57,100,2.72914
wea597,sedona,2019-04-30 12:00:00,7.51,7.51,7.51,overcast clouds,1027.06,59,99,5.033250000000001
wea598,sedona,2019-04-30 15:00:00,6.05,6.05,6.05,light rain,1024.39,89,100,5.70435
wea599,sedona,2019-04-30 18:00:00,9.64,9.64,9.64,light rain,1021.01,91,100,7.33736
