Forecast Id,City id,Date,Temp(C),Minimum Temperature(C),Maximum Temperature(C),Weather Condition,Pressure(hPa),Humidity(%),Cloudiness(%),Wind(miles/hr)
wea600,sedona,2019-04-30 21:00:00,13.06,13.06,13.06,light rain,1019.25,91,100,1.96856
wea601,honolulu,2019-04-26 00:00:00,7.14,7.14,12.12,broken clouds,1014.08,62,65,4.54111
wea602,honolulu,2019-04-26 03:00:00,5.2,5.2,8.93,broken clouds,1014.93,75,57,5.32406
wea603,honolulu,2019-04-26 06:00:00,4.7,4.7,7.19,broken clouds,1014.25,80,71,4.004230000000001
wea604,honolulu,2019-04-26 09:00:00,6.61,6.61,7.85,overcast clouds,1012.97,79,93,3.28839
wea605,honolulu,2019-04-26 12:00:00,7.95,7.95,7.95,light rain,1011.94,91,97,5.72672
wea606,honolulu,2019-04-26 15:00:00,8.62,8.62,8.62,moderate rain,1009.2,92,100,9.48488
wea607,honolulu,2019-04-26 18:00:00,10.05,10.05,10.05,light rain,1005.8,94,100,8.187420000000001
wea608,honolulu,2019-04-26 21:00:00,11.25,11.25,11.25,light rain,1001.99,95,100,7.270250000000001
wea609,honolulu,2019-04-27 00:00:00,13.79,13.79,13.79,light rain,998.42,98,100,7.00181
wea610,honolulu,2019-04-27 03:00:00,15.65,15.65,15.65,light rain,993.89,93,100,11.11789
wea611,honolulu,2019-04-27 06:00:00,14.86,14.86,14.86,light rain,991.11,95,100,7.762390000000001
wea612,honolulu,2019-04-27 09:00:00,10.55,10.55,10.55,light rain,990.0,89,100,8.07557
wea613,honolulu,2019-04-27 12:00:00,10.05,10.05,10.05,overcast clouds,990.02,85,100,8.43349
wea614,honolulu,2019-04-27 15:00:00,12.66,12.66,12.66,light rain,992.42,62,88,12.392980000000001
wea615,honolulu,2019-04-27 18:00:00,12.86,12.86,12.86,light rain,993.85,57,92,11.654770000000001
wea616,honolulu,2019-04-27 21:00:00,12.37,12.37,12.37,light rain,995.66,52,92,12.840380000000001
wea617,honolulu,2019-04-28 00:00:00,7.03,7.03,7.03,light rain,999.77,64,86,8.59008
wea618,honolulu,2019-04-28 03:00:00,5.55,5.55,5.55,broken clouds,1003.01,66,77,9.73095
wea619,honolulu,2019-04-28 06:00:00,5.71,5.71,5.71,broken clouds,1005.01,70,66,10.20072
wea620,honolulu,2019-04-28 09:00:00,4.81,4.81,4.81,few clouds,1007.12,72,24,9.05985
wea621,honolulu,2019-04-28 12:00:00,7.05,7.05,7.05,few clouds,1009.36,59,12,9.08222
wea622,honolulu,2019-04-28 15:00:00,12.48,12.48,12.48,clear sky,1010.52,43,0,7.807130000000001
wea623,honolulu,2019-04-28 18:00:00,10.55,10.55,10.55,light rain,1011.18,59,50,9.194070000000002
wea624,honolulu,2019-04-28 21:00:00,11.58,11.58,11.58,overcast clouds,1010.77,55,87,7.04655
wea625,honolulu,2019-04-29 00:00:00,6.58,6.58,6.58,light rain,1014.2,85,91,7.538690000000001
wea626,honolulu,2019-04-29 03:00:00,4.21,4.21,4.21,light rain,1018.56,77,98,11.36396
wea627,honolulu,2019-04-29 06:00:00,1.87,1.87,1.87,scattered clouds,1021.71,75,49,9.64147
wea628,honolulu,2019-04-29 09:00:00,0.15,0.15,0.15,clear sky,1024.83,75,0,6.35308
wea629,honolulu,2019-04-29 12:00:00,3.44,3.44,3.44,clear sky,1028.55,51,0,11.610030000000002
wea630,honolulu,2019-04-29 15:00:00,9.25,9.25,9.25,clear sky,1028.65,28,0,10.334940000000001
wea631,honolulu,2019-04-29 18:00:00,13.26,13.26,13.26,few clouds,1027.52,23,21,9.26118
wea632,honolulu,2019-04-29 21:00:00,13.65,13.65,13.65,overcast clouds,1027.5,26,100,7.51632
wea633,honolulu,2019-04-30 00:00:00,9.03,9.03,9.03,overcast clouds,1028.66,39,100,2.70677
wea634,honolulu,2019-04-30 03:00:00,8.05,8.05,8.05,overcast clouds,1029.19,40,100,2.25937
wea635,honolulu,2019-04-30 06:00:00,7.45,7.45,7.45,overcast clouds,1029.05,43,100,2.63966
wea636,honolulu,2019-04-30 09:00:00,5.75,5.75,5.75,overcast clouds,1027.86,57,100,2.72914
wea637,honolulu,2019-04-30 12:00:00,7.51,7.51,7.51,overcast clouds,1027.06,59,99,5.033250000000001
wea638,honolulu,2019-04-30 15:00:00,6.05,6.05,6.05,light rain,1024.39,89,100,5.70435
wea639,honolulu,2019-04-30 18:00:00,9.64,9.64,9.64,light rain,1021.01,91,100,7.33736
wea640,honolulu,2019-04-30 21:00:00,13.06,13.06,13.06,light rain,1019.25,91,100,1.96856
wea641,portland,2019-04-26 00:00:00,7.18,7.18,12.12,broken clouds,1014.08,62,65,4.54111
wea642,portland,2019-04-26 03:00:00,5.23,5.23,8.93,broken clouds,1014.93,75,57,5.32406
wea643,portland,2019-04-26 06:00:00,4.72,4.72,7.19,broken clouds,1014.25,80,71,4.004230000000001
wea644,portland,2019-04-26 09:00:00,6.62,6.62,7.85,overcast clouds,1012.97,79,93,3.28839
wea645,portland,2019-04-26 12:00:00,7.95,7.95,7.95,light rain,1011.94,91,97,5.72672
wea646,portland,2019-04-26 15:00:00,8.62,8.62,8.62,moderate rain,1009.2,92,100,9.48488
wea647,portland,2019-04-26 18:00:00,10.05,10.05,10.05,light rain,1005.8,94,100,8.187420000000001
wea648,portland,2019-04-26 21:00:00,11.25,11.25,11.25,light rain,1001.99,95,100,7.270250000000001
wea649,portland,2019-04-27 00:00:00,13.79,13.79,13.79,light rain,998.42,98,100,7.00181
wea650,portland,2019-04-27 03:00:00,15.65,15.65,15.65,light rain,993.89,93,100,11.11789
wea651,portland,2019-04-27 06:00:00,14.86,14.86,14.86,light rain,991.11,95,100,7.762390000000001
wea652,portland,2019-04-27 09:00:00,10.55,10.55,10.55,light rain,990.0,89,100,8.07557
wea653,portland,2019-04-27 12:00:00,10.05,10.05,10.05,overcast clouds,990.02,85,100,8.43349
wea654,portland,2019-04-27 15:00:00,12.66,12.66,12.66,light rain,992.42,62,88,12.392980000000001
wea655,portland,2019-04-27 18:00:00,12.86,12.86,12.86,light rain,993.85,57,92,11.654770000000001
wea656,portland,2019-04-27 21:00:00,12.37,12.37,12.37,light rain,995.66,52,92,12.840380000000001
wea657,portland,2019-04-28 00:00:00,7.03,7.03,7.03,light rain,999.77,64,86,8.59008
wea658,portland,2019-04-28 03:00:00,5.55,5.55,5.55,broken clouds,1003.01,66,77,9.73095
wea659,portland,2019-04-28 06:00:00,5.71,5.71,5.71,broken clouds,1005.01,70,66,10.20072
wea660,portland,2019-04-28 09:00:00,4.81,4.81,4.81,few clouds,1007.12,72,24,9.05985
wea661,portland,2019-04-28 12:00:00,7.05,7.05,7.05,few clouds,1009.36,59,12,9.08222
wea662,portland,2019-04-28 15:00:00,12.48,12.48,12.48,clear sky,1010.52,43,0,7.807130000000001
wea663,portland,2019-04-28 18:00:00,10.55,10.55,10.55,light rain,1011.18,59,50,9.194070000000002
wea664,portland,2019-04-28 21:00:00,11.58,11.58,11.58,overcast clouds,1010.77,55,87,7.04655
wea665,portland,2019-04-29 00:00:00,6.58,6.58,6.58,light rain,1014.2,85,91,7.538690000000001
wea666,portland,2019-04-29 03:00:00,4.21,4.21,4.21,light rain,1018.56,77,98,11.36396
wea667,portland,2019-04-29 06:00:00,1.87,1.87,1.87,scattered clouds,1021.71,75,49,9.64147
wea668,portland,2019-04-29 09:00:00,0.15,0.15,0.15,clear sky,1024.83,75,0,6.35308
wea669,portland,2019-04-29 12:00:00,3.44,3.44,3.44,clear sky,1028.55,51,0,11.610030000000002
wea670,portland,2019-04-29 15:00:00,9.25,9.25,9.25,clear sky,1028.65,28,0,10.334940000000001
wea671,portland,2019-04-29 18:00:00,13.26,13.26,13.26,few clouds,1027.52,23,21,9.26118
wea672,portland,2019-04-29 21:00:00,13.65,13.65,13.65,overcast clouds,1027.5,26,100,7.51632
wea673,portland,2019-04-30 00:00:00,9.03,9.03,9.03,overcast clouds,1028.66,39,100,2.70677
wea674,portland,2019-04-30 03:00:00,8.05,8.05,8.05,overcast clouds,1029.19,40,100,2.25937
wea675,portland,2019-04-30 06:00:00,7.45,7.45,7.45,overcast clouds,1029.05,43,100,2.63966
wea676,portland,2019-04-30 09:00:00,5.75,5.75,5.75,overcast clouds,1027.86,57,100,2.72914
wea677,portland,2019-04-30 12:00:00,7.51,7.51,7.51,overcast clouds,1027.06,59,99,5.033250000000001
wea678,portland,2019-04-30 15:00:00,6.05,6.05,6.05,light rain,1024.39,89,100,5.70435
wea679,portland,2019-04-30 18:00:00,9.64,9.64,9.64,light rain,1021.01,91,100,7.33736
wea680,portland,2019-04-30 21:00:00,13.06,13.06,13.06,light rain,1019.25,91,100,1.96856
wea681,nashville,2019-04-26 00:00:00,7.2,7.2,12.12,broken clouds,1014.08,62,65,4.54111
wea682,nashville,2019-04-26 03:00:00,5.24,5.24,8.93,broken clouds,1014.93,75,57,5.32406
wea683,nashville,2019-04-26 06:00:00,4.73,4.73,7.19,broken clouds,1014.25,80,71,4.004230000000001
wea684,nashville,2019-04-26 09:00:00,6.62,6.62,7.85,overcast clouds,1012.97,79,93,3.28839
wea685,nashville,2019-04-26 12:00:00,7.95,7.95,7.95,light rain,1011.94,91,97,5.72672
wea686,nashville,2019-04-26 15:00:00,8.62,8.62,8.62,moderate rain,1009.2,92,100,9.48488
wea687,nashville,2019-04-26 18:00:00,10.05,10.05,10.05,light rain,1005.8,94,100,8.187420000000001
wea688,nashville,2019-04-26 21:00:00,11.25,11.25,11.25,light rain,1001.99,95,100,7.270250000000001
wea689,nashville,2019-04-27 00:00:00,13.79,13.79,13.79,light rain,998.42,98,100,7.00181
wea690,nashville,2019-04-27 03:00:00,15.65,15.65,15.65,light rain,993.89,93,100,11.11789
wea691,nashville,2019-04-27 06:00:00,14.86,14.86,14.86,light rain,991.11,95,100,7.762390000000001
wea692,nashville,2019-04-27 09:00:00,10.55,10.55,10.55,light rain,990.0,89,100,8.07557
wea693,nashville,2019-04-27 12:00:00,10.05,10.05,10.05,overcast clouds,990.02,85,100,8.43349
wea694,nashville,2019-04-27 15:00:00,12.66,12.66,12.66,light rain,992.42,62,88,12.392980000000001
wea695,nashville,2019-04-27 18:00:00,12.86,12.86,12.86,light rain,993.85,57,92,11.654770000000001
wea696,nashville,2019-04-27 21:00:00,12.37,12.37,12.37,light rain,995.66,52,92,12.840380000000001
wea697,nashville,2019-04-28 00:00:00,7.03,7.03,7.03,light rain,999.77,64,86,8.59008
wea698,nashville,2019-04-28 03:00:00,5.55,5.55,5.55,broken clouds,1003.01,66,77,9.73095
wea699,nashville,2019-04-28 06:00:00,5.71,5.71,5.71,broken clouds,1005.01,70,66,10.20072
wea700,nashville,2019-04-28 09:00:00,4.81,4.81,4.81,few clouds,1007.12,72,24,9.05985
wea701,nashville,2019-04-28 12:00:00,7.05,7.05,7.05,few clouds,1009.36,59,12,9.08222
wea702,nashville,2019-04-28 15:00:00,12.48,12.48,12.48,clear sky,1010.52,43,0,7.807130000000001
wea703,nashville,2019-04-28 18:00:00,10.55,10.55,10.55,light rain,1011.18,59,50,9.194070000000002
wea704,nashville,2019-04-28 21:00:00,11.58,11.58,11.58,overcast clouds,1010.77,55,87,7.04655
wea705,nashville,2019-04-29 00:00:00,6.58,6.58,6.58,light rain,1014.2,85,91,7.538690000000001
wea706,nashville,2019-04-29 03:00:00,4.21,4.21,4.21,light rain,1018.56,77,98,11.36396
wea707,nashville,2019-04-29 06:00:00,1.87,1.87,1.87,scattered clouds,1021.71,75,49,9.64147
wea708,nashville,2019-04-29 09:00:00,0.15,0.15,0.15,clear sky,1024.83,75,0,6.35308
wea709,nashville,2019-04-29 12:00:00,3.44,3.44,3.44,clear sky,1028.55,51,0,11.610030000000002
wea710,nashville,2019-04-29 15:00:00,9.25,9.25,9.25,clear sky,1028.65,28,0,10.334940000000001
wea711,nashville,2019-04-29 18:00:00,13.26,13.26,13.26,few clouds,1027.52,23,21,9.26118
wea712,nashville,2019-04-29 21:00:00,13.65,13.65,13.65,overcast clouds,1027.5,26,100,7.51632
wea713,nashville,2019-04-30 00:00:00,9.03,9.03,9.03,overcast clouds,1028.66,39,100,2.70677
wea714,nashville,2019-04-30 03:00:00,8.05,8.05,8.05,overcast clouds,1029.19,40,100,2.25937
wea715,nashville,2019-04-30 06:00:00,7.45,7.45,7.45,overcast clouds,1029.05,43,100,2.63966
wea716,nashville,2019-04-30 09:00:00,5.75,5.75,5.75,overcast clouds,1027.86,57,100,2.72914
wea717,nashville,2019-04-30 12:00:00,7.51,7.51,7.51,overcast clouds,1027.06,59,99,5.033250000000001
wea718,nashville,2019-04-30 15:00:00,6.05,6.05,6.05,light rain,1024.39,89,100,5.70435
wea719,nashville,2019-04-30 18:00:00,9.64,9.64,9.64,light rain,1021.01,91,100,7.33736
wea720,nashville,2019-04-30 21:00:00,13.06,13.06,13.06,light rain,1019.25,91,100,1.96856
wea721,austin,2019-04-26 00:00:00,7.18,7.18,12.12,broken clouds,1014.08,62,65,4.54111
wea722,austin,2019-04-26 03:00:00,5.23,5.23,8.93,broken clouds,1014.93,75,57,5.32406
wea723,austin,2019-04-26 06:00:00,4.72,4.72,7.19,broken clouds,1014.25,80,71,4.004230000000001
wea724,austin,2019-04-26 09:00:00,6.62,6.62,7.85,overcast clouds,1012.97,79,93,3.28839
wea725,austin,2019-04-26 12:00:00,7.95,7.95,7.95,light rain,1011.94,91,97,5.72672
wea726,austin,2019-04-26 15:00:00,8.62,8.62,8.62,moderate rain,1009.2,92,100,9.48488
wea727,austin,2019-04-26 18:00:00,10.05,10.05,10.05,light rain,1005.8,94,100,8.187420000000001
wea728,austin,2019-04-26 21:00:00,11.25,11.25,11.25,light rain,1001.99,95,100,7.270250000000001
wea729,austin,2019-04-27 00:00:00,13.79,13.79,13.79,light rain,998.42,98,100,7.00181
wea730,austin,2019-04-27 03:00:00,15.65,15.65,15.65,light rain,993.89,93,100,11.11789
wea731,austin,2019-04-27 06:00:00,14.86,14.86,14.86,light rain,991.11,95,100,7.762390000000001
wea732,austin,2019-04-27 09:00:00,10.55,10.55,10.55,light rain,990.0,89,100,8.07557
wea733,austin,2019-04-27 12:00:00,10.05,10.05,10.05,overcast clouds,990.02,85,100,8.43349
wea734,austin,2019-04-27 15:00:00,12.66,12.66,12.66,light rain,992.42,62,88,12.392980000000001
wea735,austin,2019-04-27 18:00:00,12.86,12.86,12.86,light rain,993.85,57,92,11.654770000000001
wea736,austin,2019-04-27 21:00:00,12.37,12.37,12.37,light rain,995.66,52,92,12.840380000000001
wea737,austin,2019-04-28 00:00:00,7.03,7.03,7.03,light rain,999.77,64,86,8.59008
wea738,austin,2019-04-28 03:00:00,5.55,5.55,5.55,broken clouds,1003.01,66,77,9.73095
wea739,austin,2019-04-28 06:00:00,5.71,5.71,5.71,broken clouds,1005.01,70,66,10.20072
wea740,austin,2019-04-28 09:00:00,4.81,4.81,4.81,few clouds,1007.12,72,24,9.05985
wea741,austin,2019-04-28 12:00:00,7.05,7.05,7.05,few clouds,1009.36,59,12,9.08222
wea742,austin,2019-04-28 15:00:00,12.48,12.48,12.48,clear sky,1010.52,43,0,7.807130000000001
wea743,austin,2019-04-28 18:00:00,10.55,10.55,10.55,light rain,1011.18,59,50,9.194070000000002
wea744,austin,2019-04-28 21:00:00,11.58,11.58,11.58,overcast clouds,1010.77,55,87,7.04655
wea745,austin,2019-04-29 00:00:00,6.58,6.58,6.58,light rain,1014.2,85,91,7.538690000000001
wea746,austin,2019-04-29 03:00:00,4.21,4.21,4.21,light rain,1018.56,77,98,11.36396
wea747,austin,2019-04-29 06:00:00,1.87,1.87,1.87,scattered clouds,1021.71,75,49,9.64147
wea748,austin,2019-04-29 09:00:00,0.15,0.15,0.15,clear sky,1024.83,75,0,6.35308
wea749,austin,2019-04-29 12:00:00,3.44,3.44,3.44,clear sky,1028.55,51,0,11.610030000000002
wea750,austin,2019-04-29 15:00:00,9.25,9.25,9.25,clear sky,1028.65,28,0,10.334940000000001
wea751,austin,2019-04-29 18:00:00,13.26,13.26,13.26,few clouds,1027.52,23,21,9.26118
wea752,austin,2019-04-29 21:00:00,13.65,13.65,13.65,overcast clouds,1027.5,26,100,7.51632
wea753,austin,2019-04-30 00:00:00,9.03,9.03,9.03,overcast clouds,1028.66,39,100,2.70677
wea754,austin,2019-04-30 03:00:00,8.05,8.05,8.05,overcast clouds,1029.19,40,100,2.25937
wea755,austin,2019-04-30 06:00:00,7.45,7.45,7.45,overcast clouds,1029.05,43,100,2.63966
wea756,austin,2019-04-30 09:00:00,5.75,5.75,5.75,overcast clouds,1027.86,57,100,2.72914
wea757,austin,2019-04-30 12:00:00,7.51,7.51,7.51,overcast clouds,1027.06,59,99,5.033250000000001
wea758,austin,2019-04-30 15:00:00,6.05,6.05,6.05,light rain,1024.39,89,100,5.70435
wea759,austin,2019-04-30 18:00:00,9.64,9.64,9.64,light rain,1021.01,91,100,7.33736
wea760,austin,2019-04-30 21:00:00,13.06,13.06,13.06,light rain,1019.25,91,100,1.96856
wea761,natchez,2019-04-26 00:00:00,7.18,7.18,12.12,broken clouds,1014.08,62,65,4.54111
wea762,natchez,2019-04-26 03:00:00,5.23,5.23,8.93,broken clouds,1014.93,75,57,5.32406
wea763,natchez,2019-04-26 06:00:00,4.72,4.72,7.19,broken clouds,1014.25,80,71,4.004230000000001
wea764,natchez,2019-04-26 09:00:00,6.62,6.62,7.85,overcast clouds,1012.97,79,93,3.28839
wea765,natchez,2019-04-26 12:00:00,7.95,7.95,7.95,light rain,1011.94,91,97,5.72672
wea766,natchez,2019-04-26 15:00:00,8.62,8.62,8.62,moderate rain,1009.2,92,100,9.48488
wea767,natchez,2019-04-26 18:00:00,10.05,10.05,10.05,light rain,1005.8,94,100,8.187420000000001
wea768,natchez,2019-04-26 21:00:00,11.25,11.25,11.25,light rain,1001.99,95,100,7.270250000000001
wea769,natchez,2019-04-27 00:00:00,13.79,13.79,13.79,light rain,998.42,98,100,7.00181
wea770,natchez,2019-04-27 03:00:00,15.65,15.65,15.65,light rain,993.89,93,100,11.11789
wea771,natchez,2019-04-27 06:00:00,14.86,14.86,14.86,light rain,991.11,95,100,7.762390000000001
wea772,natchez,2019-04-27 09:00:00,10.55,10.55,10.55,light rain,990.0,89,100,8.07557
wea773,natchez,2019-04-27 12:00:00,10.05,10.05,10.05,overcast clouds,990.02,85,100,8.43349
wea774,natchez,2019-04-27 15:00:00,12.66,12.66,12.66,light rain,992.42,62,88,12.392980000000001
wea775,natchez,2019-04-27 18:00:00,12.86,12.86,12.86,light rain,993.85,57,92,11.654770000000001
wea776,natchez,2019-04-27 21:00:00,12.37,12.37,12.37,light rain,995.66,52,92,12.840380000000001
wea777,natchez,2019-04-28 00:00:00,7.03,7.03,7.03,light rain,999.77,64,86,8.59008
wea778,natchez,2019-04-28 03:00:00,5.55,5.55,5.55,broken clouds,1003.01,66,77,9.73095
wea779,natchez,2019-04-28 06:00:00,5.71,5.71,5.71,broken clouds,1005.01,70,66,10.20072
wea780,natchez,2019-04-28 09:00:00,4.81,4.81,4.81,few clouds,1007.12,72,24,9.05985
wea781,natchez,2019-04-28 12:00:00,7.05,7.05,7.05,few clouds,1009.36,59,12,9.08222
wea782,natchez,2019-04-28 15:00:00,12.48,12.48,12.48,clear sky,1010.52,43,0,7.807130000000001
wea783,natchez,2019-04-28 18:00:00,10.55,10.55,10.55,light rain,1011.18,59,50,9.194070000000002
wea784,natchez,2019-04-28 21:00:00,11.58,11.58,11.58,overcast clouds,1010.77,55,87,7.04655
wea785,natchez,2019-04-29 00:00:00,6.58,6.58,6.58,light rain,1014.2,85,91,7.538690000000001
wea786,natchez,2019-04-29 03:00:00,4.21,4.21,4.21,light rain,1018.56,77,98,11.36396
wea787,natchez,2019-04-29 06:00:00,1.87,1.87,1.87,scattered clouds,1021.71,75,49,9.64147
wea788,natchez,2019-04-29 09:00:00,0.15,0.15,0.15,clear sky,1024.83,75,0,6.35308
wea789,natchez,2019-04-29 12:00:00,3.44,3.44,3.44,clear sky,1028.55,51,0,11.610030000000002
wea790,natchez,2019-04-29 15:00:00,9.25,9.25,9.25,clear sky,1028.65,28,0,10.334940000000001
wea791,natchez,2019-04-29 18:00:00,13.26,13.26,13.26,few clouds,1027.52,23,21,9.26118
wea792,natchez,2019-04-29 21:00:00,13.65,13.65,13.65,overcast clouds,1027.5,26,100,7.51632
wea793,natchez,2019-04-30 00:00:00,9.03,9.03,9.03,overcast clouds,1028.66,39,100,2.70677
wea794,natchez,2019-04-30 03:00:00,8.05,8.05,8.05,overcast clouds,1029.19,40,100,2.25937
wea795,natchez,2019-04-30 06:00:00,7.45,7.45,7.45,overcast clouds,1029.05,43,100,2.63966
wea796,natchez,2019-04-30 09:00:00,5.75,5.75,5.75,overcast clouds,1027.86,57,100,2.72914
wea797,natchez,2019-04-30 12:00:00,7.51,7.51,7.51,overcast clouds,1027.06,59,99,5.033250000000001
wea798,natchez,2019-04-30 15:00:00,6.05,6.05,6.05,light rain,1024.39,89,100,5.70435
wea799,natchez,2019-04-30 18:00:00,9.64,9.64,9.64,light rain,1021.01,91,100,7.33736
wea800,natchez,2019-04-30 21:00:00,13.06,13.06,13.06,light rain,1019.25,91,100,1.96856
wea801,anchorage,2019-04-26 00:00:00,7.2,7.2,12.12,broken clouds,1014.08,62,65,4.54111
